,nrmse,nmae,r2,nll,hf time,lf time,noise,beta
gpr,1.3215084349831292,3.533284972639623,0.4111932983840103,-18516.70965184465,0.24695277214050293,0.0,6.125384851352239e-05,[[3.05025846e-13]]
mfrbfgp1a,0.07245609986352988,0.228587087671159,0.9982299612588104,-0.4253247898336283,0.24834728240966797,12.751688003540039,0.3995363361780479,"[[0.83733104]
 [1.03617779]]"
mfrbfgp1b,0.12321368570910776,0.3075505614152858,0.9948814050589488,-0.6675958962801142,0.30318760871887207,9.13327431678772,0.4440045011635387,"[[2.0578806 ]
 [1.94032124]]"
mfrbfgp1c,0.2920508132756639,0.5697056571777234,0.9712425942394352,-18708.63149717406,0.13754987716674805,8.674431085586548,6.125384851352239e-05,"[[0.77483481]
 [1.26432539]]"
